MSOAcode,log_Violent,PopDensity,Age16_29%,BAME%,Householdspaces_no_usualresidents,Household_Income,House_Price,Employment_Deprivation,EducationSkills_Deprivation,LivingEnvironment_Deprivation,Violent_Rate
E02000439,1.338392618,81,19.7555,61.9,0.397940009,4.682145076,5.530600499,0.0906,13.5214,19.2606,21.79679391
E02000440,0.970120427,64,17.5708,57.7,0.322219295,4.773054693,5.726507154,0.0624,5.7042,11.9494,9.33513121
E02000441,1.117388854,30,14.6275,44.6,0.361727836,4.72916479,5.717846847,0.09975,8.27025,12.1395,13.1035465
E02000442,1.215330761,81,21.2678,74.4,0.255272505,4.73239376,5.598015305,0.067,16.7446,15.0666,16.4183973
E02000443,1.297657852,100,19.7232,63.1,0.579783597,4.656098202,5.508536452,0.1216,18.8434,19.774,19.84530837
E02000444,1.104756692,80,17.7273,72.5,0.301029996,4.719331287,5.626148332,0.0656,8.4624,14.3118,12.72789818
E02000445,1.402964927,87,19.2798,63.2,0.447158031,4.660865478,5.496122549,0.1142,15.0866,19.8838,25.29093741
E02000447,0.998053192,33,16.419,53.3,0.322219295,4.758911892,5.653420925,0.0755,3.59575,13.28425,9.955273409
E02000448,1.058778001,40,12.2029,30.3,0.361727836,4.798650645,5.808470931,0.043,1.24425,11.80475,11.44927536
E02000449,1.03017008,91,20.1882,73.3,0.079181246,4.674861141,5.613180896,0.0854,16.6394,16.2792,10.71939019
E02000451,1.035888965,42,15.8607,53.6,0.301029996,4.793790385,5.696208686,0.05175,1.897,11.64625,10.86147895
E02000452,1.488497878,76,18.6534,58.5,0.397940009,4.695481676,5.504125464,0.092,6.0325,28.8285,30.79625293
E02000453,1.14564068,79,17.8116,56.9,0.579783597,4.737192643,5.592977963,0.06925,2.917,14.1135,13.98429833
E02000454,0.826070183,45,12.9437,42.8,0.255272505,4.823474229,5.786615861,0.04725,1.21475,7.96125,6.699928724
E02000455,1.595026729,71,19.9082,59.6,0.491361694,4.72916479,5.537769998,0.1,5.6415,21.01625,39.35742972
E02000456,1.145483522,78,18.2007,53.9,0.51851394,4.743509765,5.595606435,0.09025,6.29475,19.74125,13.97923875
E02000457,1.18428946,56,16.0349,57.3,0.477121255,4.759667845,5.643472417,0.06925,3.52175,10.93575,15.28584531
E02000459,1.524704448,73,18.3195,65,0.477121255,4.691081492,5.498007131,0.103,9.57925,18.72175,33.47375612
E02000460,1.266569737,78,19.3087,69,0.255272505,4.686636269,5.531034176,0.12975,17.3455,15.25625,18.47437426
E02000461,1.276682177,27,24.1822,44.1,0.707570176,4.757396029,5.639549238,0.05075,7.00825,17.92525,18.90959282
E02000462,1.463162505,69,18.0876,67.5,0.544068044,4.691965103,5.526250083,0.08025,13.60875,21.90675,29.05109489
E02000463,1.272039185,89,18.1171,62.9,0.278753601,4.675778342,5.55309014,0.1072,15.9142,13.3554,18.70850935
E02006795,1.098029123,84,16.2551,69.5,0.301029996,4.73479983,5.609431118,0.0676,5.6964,16.4272,12.53225212
E02006882,1.139480508,67,18.7452,72.9,0.146128036,4.73239376,5.659976066,0.068888889,8.804888889,14.10977778,13.78734071
E02000464,1.405259582,12,18.1205,11,0.414973348,4.589949601,5.434263833,0.172,42.09975,13.0095,25.42491923
E02000465,1.513771989,31,17.7897,11.4,0.380211242,4.635483747,5.415952746,0.1698,39.9894,13.933,32.64164141
E02000466,1.286504427,14,18.8789,12.4,0.146128036,4.640481437,5.449577126,0.1388,36.3428,11.143,19.34213574
E02000467,1.643878701,77,19.5567,17,0.322219295,4.565847819,5.345203116,0.215666667,46.18083333,10.27966667,44.04318334
E02000468,1.320314126,20,17.4069,11.2,0.278753601,4.660865478,5.460379085,0.12,31.4342,11.8754,20.90807868
E02000469,1.470456974,40,16.9765,17,0.079181246,4.584331224,5.375312379,0.17675,34.247,11.521,29.54316184
E02000470,1.2994076,13,16.756,9.1,0.397940009,4.725094521,5.469375715,0.0858,13.5966,14.0248,19.92542531
E02000471,1.021351503,35,15.1576,7.6,0.230448921,4.73479983,5.582959449,0.072,19.4894,9.8622,10.50392235
