MSOAcode,MSOAName,Population,PopDensity,Age16_29%,BAME%,Householdspaces_no_usualresidents,Household_Income,House_Price
E02000177,Camden 012,"9,947",190,23.776,36,0.462397998,4.650307523,5.872254779
E02000178,Camden 013,"9,706",173,25.5306,36.9,0.342422681,4.641474111,5.754744983
E02000179,Camden 014,"7,064",184,16.7044,33.4,0.716003344,4.751279104,6.02914221
E02000180,Camden 015,"8,358",172,26.9921,33.9,0.62324929,4.69019608,5.826545142
E02000181,Camden 016,"8,169",151,21.8019,24.2,0.477121255,4.79518459,5.877530289
E02000182,Camden 017,"7,550",95,20.106,40.3,0.908485019,4.800029359,6.366366168
E02000183,Camden 018,"8,335",108,16.8926,22.8,0.880813592,4.810232518,6.209741218
E02000184,Camden 019,"9,488",143,31.9351,41,0.380211242,4.704150517,5.782822928
E02000185,Camden 020,"9,323",198,19.779,42,0.716003344,4.6599162,5.722661065
E02000186,Camden 021,"7,322",73,29.2543,30.6,0.986771734,4.720159303,6.162014769
E02000187,Camden 022,"9,936",103,29.2069,52.9,0.322219295,4.614897216,5.813007555
E02000188,Camden 023,"8,322",164,34.8474,51.6,0.397940009,4.608526034,5.729152636
E02000189,Camden 024,"6,523",219,35.0606,54.6,0.612783857,4.646403726,5.846147144
E02000190,Camden 025,"7,381",199,35.6862,43,0.86923172,4.615950052,5.729776099
E02000191,Camden 026,"8,160",127,50.2328,43.2,1.079181246,4.761175813,5.845506705
E02000192,Camden 027,"8,014",186,24.2575,41.5,0.672097858,4.704150517,5.979374895
E02000193,Camden 028,"8,105",74,30.475,35.6,1.06069784,4.770852012,5.932251995
E02000194,Croydon 001,"9,344",67,16.4812,39.6,0.342422681,4.678518379,5.563007375
E02000195,Croydon 002,"9,521",49,18.0548,53.9,0.397940009,4.694605199,5.620467117
E02000196,Croydon 003,"7,697",63,21.0991,64.4,0.322219295,4.666517981,5.599688796
E02000197,Croydon 004,"9,591",97,18.3505,64.1,0.414973348,4.650307523,5.557070282
E02000198,Croydon 005,"8,603",96,18.1332,62.7,0.431363764,4.610660163,5.420919044
E02000199,Croydon 006,"8,531",99,18.0518,66.6,0.361727836,4.666517981,5.461593059
E02000200,Croydon 007,"8,830",71,16.5232,54.2,0.431363764,4.655138435,5.422699795
E02000201,Croydon 008,"9,133",106,19.2708,60.2,0.544068044,4.620136055,5.396333626
E02000202,Croydon 009,"8,562",116,18.6522,75.2,0.397940009,4.643452676,5.463612323
E02000203,Croydon 010,"7,964",103,18.2446,70.9,0.361727836,4.631443769,5.413827639
E02000204,Croydon 011,"9,634",89,19.753,79.7,0.380211242,4.6599162,5.428139656
E02000206,Croydon 013,"9,937",68,17.7921,63.5,0.672097858,4.587710965,5.378850131
E02000207,Croydon 014,"9,235",74,19.686,54,0.255272505,4.64738297,5.397020068
E02000208,Croydon 015,"10,624",121,20.0772,71.7,0.361727836,4.592176757,5.335987157
E02000209,Croydon 016,"8,703",87,18.35,72.3,0.204119983,4.643452676,5.391732347
E02000210,Croydon 017,"8,469",109,17.5109,42.8,0.361727836,4.670245853,5.467009891
E02000211,Croydon 018,"8,091",48,16.611,25.4,0.322219295,4.719331287,5.53908112
E02000212,Croydon 019,"8,998",72,18.0485,70.2,0.322219295,4.629409599,5.405858399
E02000213,Croydon 020,"10,480",102,20.7824,66.7,0.602059991,4.604226053,5.429585957
E02000214,Croydon 021,"6,385",62,16.899,32.8,0.322219295,4.760422483,5.569420731
E02000215,Croydon 022,"10,857",110,19.8397,45.5,0.568201724,4.696356389,5.451172158
E02000216,Croydon 023,"6,935",32,12.819,50.8,0.591064607,4.746634199,5.584092523
E02000217,Croydon 024,"11,353",79,20.1356,47.7,0.579783597,4.633468456,5.422924541
E02000218,Croydon 025,"6,743",59,18.256,40,-0.22184875,4.664641976,5.582923142
E02000219,Croydon 026,"7,637",13,15.9618,26,0.278753601,4.759667845,5.62073033
E02000220,Croydon 027,"10,966",73,21.2019,41.8,0.826074803,4.663700925,5.403602612
E02000221,Croydon 028,"10,682",38,19.0601,46.2,0.361727836,4.626340367,5.501053782
E02000222,Croydon 029,"8,170",44,17.1481,30.8,0.531478917,4.725094521,5.535130754
E02000223,Croydon 030,"8,398",87,20.1715,38.4,0.230448921,4.522444234,5.361402938
E02000224,Croydon 031,"8,028",63,17.8874,31.7,0.447158031,4.73479983,5.498187831
E02000225,Croydon 032,"7,612",47,18.773,22.3,0.041392685,4.599883072,5.420312285
E02000226,Croydon 033,"7,673",23,17.0338,23.1,0.146128036,4.78604121,5.629545168
E02000227,Croydon 034,"11,528",25,17.0021,20,0,4.681241237,5.444457024
E02000228,Croydon 035,"7,839",25,13.3435,20.5,0.278753601,4.825426118,5.696459489
E02000229,Croydon 036,"6,619",50,17.616,25.3,0.204119983,4.561101384,5.414448537
E02000230,Croydon 037,"10,477",40,16.2833,31.7,0.447158031,4.761175813,5.599250812
